Sonnet,line,volta_primary,volta_secondary
1,13,conclusion,
2,9,,resolution
2,13,summary,supplement
3,9,,resolution
3,13,reversal,
4,9,explanation,
4,13,explanation,
5,9,conclusion,
5,13,reversal,
6,13,conclusion,explanation
7,9,reversal,
7,13,conclusion,analogy
8,9,,resolution
8,13,summary,
9,13,conclusion,
10,9,conclusion,
10,13,summary,supplement
11,13,summary,supplement
12,9,conclusion,
12,13,conclusion,
13,13,conclusion,
14,9,reversal,resolution
14,13,reversal,
15,9,conclusion,
15,13,summary,supplement
16,9,conclusion,
16,13,summary,
17,9,conclusion,
17,13,reversal,
18,9,reversal,resolution
18,13,summary,supplement
19,9,conclusion,resolution
19,13,reversal,
20,13,reversal,resolution
21,9,conclusion,resolution
21,13,summary,
22,9,conclusion,
22,13,conclusion,
23,9,conclusion,resolution
23,13,conclusion,
24,13,reversal,
25,13,conclusion,
26,9,,resolution
26,13,conclusion,reversal
27,9,reversal,
27,13,summary,
28,9,,resolution
28,13,reversal,
29,9,reversal,resolution
29,13,explanation,conclusion
30,9,conclusion,
30,13,reversal,resolution
31,13,summary,
32,9,conclusion,
32,13,reversal,resolution
33,9,,analogy
33,13,reversal,resolution
34,13,reversal,resolution
35,9,explanation,
35,13,conclusion,
36,13,reversal,summary
37,9,conclusion,resolution
37,13,summary,supplement
38,13,summary,
39,9,conclusion,resolution
39,13,conclusion,
40,13,summary,resolution
41,9,reversal,
41,13,summary,
42,13,reversal,resolution
43,13,summary,
44,9,reversal,
44,13,summary,
45,9,reversal,resolution
45,13,reversal ,
46,13,conclusion,resolution
47,9,conclusion,analogy
47,13,conclusion,
48,13,conclusion,explanation
49,9,,resolution
49,13,summary,
50,13,explanation,
51,9,conclusion,
51,13,explanation,conclusion
52,9,conclusion,analogy
52,13,conclusion,
53,13,summary,
54,9,reversal,
54,13,conclusion,
55,9,,resolution
55,13,summary,supplement
56,9,,analogy
56,13,summary,analogy
57,13,conclusion,
58,13,conclusion,
59,13,conclusion,
60,13,reversal,resolution
61,9,reversal,
61,13,summary,supplement
62,9,reversal,
62,13,reversal,resolution
63,9,,resolution
63,13,summary,supplement
64,9,,analogy
64,13,conclusion,
65,9,conclusion,
65,13,reversal,resolution
66,13,conclusion,reversal
67,13,conclusion,resolution
68,13,summary,supplement
69,13,explanation,
70,13,conclusion,
71,9,summary,
71,13,summary,supplement
72,9,summary,
72,13,explanation,conclusion
73,9,,resolution
73,13,conclusion,resolution
74,9,conclusion,
74,13,conclusion,summary
75,13,conclusion,
76,9,explanation,
76,13,explanation,analogy
77,9,,resolution
77,13,summary,supplement
78,9,reversal,
78,13,reversal,summary
79,13,conclusion,explanation
80,13,conclusion,explanation
81,9,,resolution
81,13,summary,
82,9,reversal,
82,13,summary,supplement
83,9,,resolution
83,13,summary,
84,13,reversal,irony
85,13,conclusion,summary
86,13,reversal,conclusion
87,13,conclusion,
88,9,,resolution
88,13,summary,
89,13,summary,supplement
90,13,summary,explanation
91,13,reversal,irony
92,13,reversal,
93,9,reversal,resolution
93,13,conclusion,irony
94,9,,analogy
94,13,explanation,analogy
95,9,summary,analogy
95,13,conclusion,irony
96,13,reversal,explanation
97,9,reversal,
97,13,summary,analogy
98,13,summary,irony
100,13,summary,supplement
101,9,,resolution
101,13,conclusion,
102,13,conclusion,explanation
103,13,explanation,summary
104,9,reversal,
104,13,conclusion,
105,13,summary,supplement
106,9,conclusion,
106,13,explanation,
107,9,,resolution
107,13,conclusion,
108,9,,resolution
108,13,reversal,irony
109,13,explanation,
110,9,,resolution
110,13,conclusion,
111,13,conclusion,
112,13,conclusion,irony
113,13,conclusion,explanation
114,9,conclusion,
114,13,conclusion,irony
115,9,conclusion,resolution
115,13,summary,supplement
116,13,conclusion,irony
117,13,explanation,
118,13,reversal,irony
119,9,reversal,resolution
119,13,conclusion,irony
120,9,conclusion,
120,13,reversal,
121,9,reversal,
121,13,reversal,irony
122,13,explanation,irony
123,9,,resolution
123,13,reversal,conclusion
124,13,conclusion,irony
125,9,reversal,
125,13,conclusion,
127,9,conclusion,
127,13,reversal,irony
128,13,conclusion,explanation
129,13,summary,irony
130,13,reversal,
131,9,,resolution
131,13,conclusion,irony
132,13,conclusion,
133,9,,resolution
133,13,reversal,
134,13,summary,supplement
135,13,conclusion,irony
136,9,conclusion,
136,13,conclusion,irony
137,13,summary,explanation
138,9,reversal,
138,13,conclusion,irony
139,9,,resolution
139,13,reversal,summary
140,9,explanation,
140,13,explanation,conclusion
141,9,reversal,
141,13,conclusion,irony
142,13,conclusion,irony
143,9,,analogy
143,13,conclusion,
144,13,reversal,irony
145,9,,resolution
145,13,summary,supplement
146,9,conclusion,resolution
146,13,conclusion,irony
147,13,explanation,irony
148,13,explanation,irony
149,13,reversal,irony
150,13,explanation,irony
151,13,summary,
152,9,explanation,
152,13,explanation,summary
153,9,reversal,
153,13,reversal,irony
154,13,conclusion,