Sonnet,Line,SH_value_m,SL_value_m,SH_value_v,SL_value_v,SH_value_r,SL_value_r
1,1,0,0,0,0,0,0
1,2,0.341640786,0,0.305675315,0,0.569193787,0
1,3,0,0,0,0,0,0
1,4,0.341640786,0,0,0,0,0
1,5,0,0,0.593017005,0,0,0
1,6,0,0,0,0,0,0
1,7,0,0,0,0.105334304,0,0
1,8,0,0,0,0.610818516,0,0.427765599
1,9,0.341640786,0,0,0,0,0
1,10,0.683281573,0,0,0,0,0
1,11,0,0,0,0,0,0
1,12,0,0,0,0.105334304,0,0.444764178
1,13,0,0,0,0,0,1.185476812
1,14,0,0,0,0,0,0.541018684
2,1,0,0,0,0,0,0
2,2,0,0.249390095,0,0.031874083,0,0
2,3,0,0,0.119693154,0,0.291934794,0
2,4,0,0.249390095,0,0,0,0.40400068
2,5,0,0,0,0,0,0
2,6,0,0,0,0,0,0
2,7,0,0.249390095,0,0.031874083,0,0
2,8,0,0.49878019,0,0,0,1.031012107
2,9,0,0,0.668981454,0,0.61712113,0
2,10,0,0,0.073290914,0,0.041509663,0
2,11,0,0,0,0.031874083,0,0
2,12,0,0,1.040890706,0,0.263991655,0
2,13,0,0,0,0.031874083,0,0
2,14,0,0,0,0,0,0
3,1,0,0,0,0,0,0
3,2,0,0,0,0,0,0
3,3,0,0,0,0,0,0
3,4,0,0,0,0,0,0
3,5,0,0,0.229361288,0,0,0
3,6,0,0,0,0,0,0
3,7,0,0,0.616491224,0,0,0
3,8,0,0,0,0.190441764,0,0
3,9,0,0,0,0,0,0
3,10,0.961161351,0,0.642835336,0,1.01523664,0
3,11,0.549509757,0,0,0,0.494761649,0
3,12,1.510671108,0,0,0,1.610596039,0
3,13,0,0,0,0,0.266821189,0
3,14,0,0,0,1.165173901,0,0.628817918
4,1,0,0,0,0,0,0
4,2,0,0,0,0,0,0
4,3,0,0,0,0,0,0
4,4,1.157277487,0,0.41126874,0,0,0
4,5,0,0,0,0,0,0.218024716
4,6,0,0,0,0,0,0
4,7,0,0,0,0.542434742,0,0.665502334
4,8,0,0,0.914055613,0,1.378073972,0
4,9,0,0,0,0.165683391,0.6396337,0
4,10,0,0,0,0,0,0
4,11,0,0,0,0,0,0
4,12,0,0,0,0,0,0
4,13,0,0,0.666389033,0,0,0
4,14,1.157277487,0,0,0,0,0
5,1,0,0,0,0,0,0
5,2,0.58113883,0,0.363042792,0,0.684112882,0
5,3,0,0,0,0,0,0.547716951
5,4,0,0,0,0,0,0.529283786
5,5,0,0,0,0,0,0
5,6,0,0,0,0,0,0
5,7,0,0,0,0,0,0
5,8,0,0,0.181829488,0,0.329913569,0
5,9,0,0,0,0,0,0
5,10,0,0,0,1.078853923,0,0.186944353
5,11,0,0,0.181829488,0,0,0
5,12,0,0,0,0,0,0
5,13,0.58113883,0,0,0,0,0
5,14,1.16227766,0,0.258418843,0,0.75426843,0
6,1,0,0,0,0,0,0
6,2,0,0.51636508,0,0,0,0
6,3,0,0,0.555824746,0,0,0
6,4,0,0.51636508,0.105029932,0,0,0
6,5,0,0,0,0,0,0
6,6,0,0,0,0,0,0
6,7,0,0,0,0,0,0
6,8,0,0,0.230422941,0,1.011685662,0
6,9,0,0,0.460845881,0,1.706162553,0
6,10,0,0,0,0,0.863433289,0
6,11,0,0,0,1.094758304,0,0
6,12,0,0,0,0.419590635,0,0
6,13,0,0,0,0,0,0
6,14,0,0.51636508,0,0,0,0.41987919
7,1,0,0,0,0,0,0
7,2,0,0,0,0,0,0.105997858
7,3,0,0,0,0,0,0
7,4,0,0,0,0,0,0
7,5,0,0,0.333650252,0,0.257300709,0
7,6,0,0,0.36631581,0,0.634335879,0
7,7,0,0,1.291882915,0,1.18156797,0
7,8,0,0,0,0,0.576772148,0
7,9,0,0.114941219,0,0.635690884,0,0
7,10,0,0.229882439,0,0,0,0.146674367
7,11,0,0.344823658,0,0,0,0
7,12,0,0.459764877,0,0.284739183,0,0.761144476
7,13,0,0.574706097,0,0,0,0
7,14,0,0.689647316,0,0,0,0
8,1,0,0,0,0,0,0
8,2,0.114941219,0,0,0.894819974,0.678670064,0
8,3,0,0,0,0.649889504,0,0
8,4,0,0,0,0,0,0
8,5,0.114941219,0,0,0,0,0
8,6,0,0,0,0,0,0.037829353
8,7,0,0,0.399434287,0,0,0.001660281
8,8,0,0,0,0,0,0
8,9,0.114941219,0,0,0,0,0
8,10,0.229882439,0,0,0.004094706,0,0
8,11,0.344823658,0,0.256269034,0,0.671662016,0
8,12,0.459764877,0,0.403044509,0,0.749116543,0
8,13,0,0,0,0,0,0
8,14,0,0,0,0,0,0
9,1,0,0,0,0,0,0
9,2,0,0,0,0,0,0
9,3,0,0,0,0.0697977,0,0
9,4,0,0,0.151937334,0,0,0
9,5,0,0,0,0.006194001,0,0
9,6,0,0,0,0,0,0
9,7,0,0,0,0,0,0
9,8,0.820930936,0,0,0,0,0
9,9,1.641861872,0,0,0,0,0
9,10,2.462792808,0,0.855047318,0,1.442340893,0
9,11,0.855815829,0,0,0.006194001,0.619380422,0
9,12,0,0,0,0.268190515,0,0.159212138
9,13,0,0,0.377672645,0,0,0
9,14,0,0,0,0,0,0.192484635
10,1,0,0,0,0,0,0
10,2,0,0,0,0,0,0
10,3,0.292486066,0,0.290519241,0,0.459653376,0
10,4,0,0,0,0,0,0
10,5,0,0,0,1.046372849,0,0.488543562
10,6,0,0,0,0.592691786,0,0
10,7,0,0,0,0.341500953,0,0
10,8,0,0,0,0,0,0
10,9,0,0,0,0,0,0
10,10,0,0,0,0,0,0.147104085
10,11,0.292486066,0,0.527369858,0,0.614492278,0
10,12,0.584972132,0,0,0,0.073931673,0
10,13,0.877458198,0,0.124225451,0,0,0
10,14,1.169944265,0,0.114681451,0,0.459797266,0
11,1,0,0,0,0,0,0
11,2,0,0,0,0,0,0
11,3,0,0,0,0,0,0
11,4,0,0,0,0,0,0
11,5,0,0,0.838559403,0,0.740115251,0
11,6,0,0.411773158,0,0.045666774,0,0.636611686
11,7,0,0.823546315,0,0,0,0
11,8,0,1.235319473,0,0,0,0
11,9,0,0.484455912,0,0,0,0
11,10,0,0.89622907,0,0.749454557,0,1.13938696
11,11,0,0,0.330331761,0,0.340550743,0
11,12,0,0,0.737515227,0,0.045220304,0
11,13,0,0,0,0,0,0
11,14,0,0,0,0.497399264,0,0
12,1,0,0,0,0,0,0
12,2,0,0,0.027829106,0,0,0.502320844
12,3,0,0,0,0,0.050559752,0
12,4,0,0,0,0,0,0
12,5,0,0,0,0,0,0
12,6,1.288585537,0,0,0,0,0
12,7,0,0,0,0,0,0
12,8,0,0,0,0,0,0
12,9,0,0,0.191567383,0,0.404897999,0
12,10,0,0,0,0,0,0.456713544
12,11,0,0,0.68693099,0,0,0
12,12,0,0,0,1.086793772,0,0.660915096
12,13,0,0,0,0.161708776,0,0.816356872
12,14,1.288585537,0,0.68693099,0,0,0
13,1,0,0,0,0,0,0
13,2,0,0.08012345,0,0.320189762,0,0
13,3,0,0.160246899,0,0,0,0
13,4,0.08012345,0,0,0,0,0
13,5,0,0,0.03341851,0,0,0
13,6,0.08012345,0,0,0,0,0.069852967
13,7,0.160246899,0,0,0,0,0
13,8,0.240370349,0,0.285113851,0,0.034847833,0
13,9,0,0.08012345,0,0,0,0.7630251
13,10,0.08012345,0,0,0,0,0
13,11,0,0.08012345,0,0,0,0
13,12,0,0.160246899,0,0.991548559,0,0.429815596
13,13,0,0.240370349,0.020576911,0,0.12011573,0
13,14,0.08012345,0,0,0,0,0
14,1,0,0,0,0,0,0
14,2,0,0,0,0,0,0
14,3,0,0,0,0,0,0
14,4,0,0.527525232,0,0.116540055,0,0
14,5,0,0,0,0,0,0.254252683
14,6,0,0.527525232,0,0,0,0
14,7,0,0,0,0,0,0
14,8,0,0,0.599668474,0,0.323670068,0
14,9,0,0,0,0,0,0
14,10,0.527525232,0,0,0,0.864636224,0
14,11,1.055050463,0,1.396948845,0,1.696974372,0
14,12,1.582575695,0,0.114549094,0,0.424901308,0
14,13,0.582575695,0,0,0,0,0
14,14,0,0.527525232,0,0.763800494,0,0.188179903
15,1,0,0,0,0,0,0
15,2,0,0.01695036,0,0,0.355866408,0
15,3,0,0,0,0,0,0
15,4,0,0,0,0,0,0
15,5,0,0,0,0,0,0
15,6,0,0,0.27325121,0,0,0
15,7,0,0.01695036,0,0,0,0
15,8,0,0.033900719,0.334230052,0,0,0
15,9,0,0.050851079,0,0,0,0.768743447
15,10,0.571650556,0,0.605794212,0,1.060044961,0
15,11,0,0.01695036,0,1.182847763,0,0.241397332
15,12,0,0.033900719,0,0.843496975,0,0.193317658
15,13,0.571650556,0,0,0.211750746,0,0.130396393
15,14,1.143301112,0,0,0,0,0
16,1,0,0,0,0,0,0
16,2,0,0.961161351,0,1.01859535,0,1.281967412
16,3,0,0,0,1.137320127,0,0.499719553
16,4,0,0,0.36285241,0,0.225762291,0
16,5,0,0,0.807945913,0,0.94774373,0
16,6,0,0,0,0,0,0
16,7,0,0,0.579930645,0,0.188268791,0
16,8,0,0,0,0,0.188640887,0
16,9,0,0,0,0,0,0
16,10,0,0,0,0,0,0
16,11,0,0,0,0.084298274,0,0
16,12,0,0.961161351,0,0,0,0
16,13,0,0,0,0,0,0
16,14,0,0,0,0,0,0
17,1,0,0,0,0,0,0
17,2,0,0,0,0,0,0
17,3,0,0.154700538,0,0,0,0
17,4,0,0.309401077,0,0.024296513,0,0.378318784
17,5,0,0,0.220724285,0,0.514498992,0
17,6,0,0,0.591351766,0,0.381866954,0
17,7,0,0.154700538,0,0.740304717,0,0.487176165
17,8,0,0,0.298615161,0,0,0
17,9,0,0.154700538,0,0,0,0
17,10,0,0.309401077,0.095804956,0,0,0.834697786
17,11,0,0,0,0.096014904,0,0
17,12,0,0,0,0,0,0
17,13,0,0,0.046719007,0,0,0
17,14,0,0,0,0,0.337400367,0
18,1,0,0,0,0,0,0
18,2,0,0,0.458397741,0,0.884853135,0
18,3,0,0.114941219,0.347353502,0,0,0
18,4,0,0.229882439,0,0,0,0.013703811
18,5,0,0.344823658,0.020008599,0,0,0
18,6,0,0.459764877,0,0,0,0
18,7,0,0.574706097,0.200931102,0,0,0.684529466
18,8,0,0.689647316,0,0,0,0
18,9,0,0,0,0,0.141403447,0
18,10,0,0,0.17657615,0,0,0
18,11,0,0,0.096458834,0,0,0
18,12,0,0,0,0,0,0
18,13,0,0,0,0,0,0
18,14,0,0,0,0,0.711885385,0
19,1,0,0,0,0,0,0
19,2,0,0,0,0,0,0
19,3,0,0,0,0,0,0
19,4,0,0,0,0,0,0
19,5,0,0,0,0,0,0
19,6,0,0,0,0,0,0
19,7,0,0,0,0,0,0
19,8,0,0,0,1.663182545,0,0.698879225
19,9,0,0,0,0.278369177,0,0
19,10,0,0,0,0,0,0
19,11,0.672856722,0,0,0,0,0
19,12,1.345713444,0,0,0,0,0
19,13,0,0,0,0.420503788,0,0.09904374
19,14,0.672856722,0,0.219992027,0,1.453424758,0
20,1,0,0,0,0,0,0
20,2,0,0,0,0,0.413757128,0
20,3,0,0,0,0,0,0
20,4,0,0,0,0,0,0.076145964
20,5,0,0,0,0,0.468939335,0
20,6,0,0,0,0,0,0
20,7,0,0,0,0,0,0
20,8,0,0,0,0.847681549,0,0.04379207
20,9,0,0,0,0,0,0
20,10,0,0.45999279,0,0,0,0
20,11,0,0.91998558,0,0.755144412,0,0.74562865
20,12,0,1.379978371,0,0.20903653,0,0.498865198
20,13,0,1.839971161,0.26855428,0,0,0.051568348
20,14,0,0.028864055,0.86358176,0,0.822284049,0
21,1,0,0,0,0,0,0
21,2,0,0,0,0,0,0
21,3,0,0,0,0,0,0
21,4,0,0,0,0,0,0
21,5,0,0,0,0,0,0
21,6,0,0,0,0,0.477225368,0
21,7,0,0,0,0,0,0
21,8,0,0,0,0,0,0
21,9,0.820930936,0,0.24549751,0,0,0
21,10,1.641861872,0,0.361391921,0,0.556210012,0
21,11,0.034884893,0,0,0.92368384,0,0.056984081
21,12,0,0,0,0.693128946,0,0
21,13,0,0,0,0,0,0
21,14,0.820930936,0,0,0.876170995,0,0.992750517
22,1,0,0,0,0,0,0
22,2,0,0,0,0,0.01889698,0
22,3,0,0.58113883,0,0,0,0
22,4,0,1.16227766,0,1.027687251,0,0
22,5,0,0,0.887812578,0,0.705346945,0
22,6,0,0,0,0,0,0
22,7,0,0,0,0,0,0
22,8,0,0,0,0,0,0
22,9,0,0,1.056285109,0,0,0
22,10,0,0,0.008645608,0,0,0
22,11,0,0,0,0,0.26897826,0
22,12,0,0,0,0.440015421,0,0
22,13,0,0.58113883,0,0,0,0.390547037
22,14,0,1.16227766,0,0,0,0.028908254
23,1,0,0,0,0,0,0
23,2,0,0,0,0.129720907,0,0
23,3,0,0,0,0.413907723,0,0.25214247
23,4,0,0,0,0.116232409,0,0
23,5,0,0,0,0,0,0.013511185
23,6,0,0,0.462873812,0,1.004321185,0
23,7,0,0,0,0,0,0
23,8,0,0,0,0,0,0
23,9,0.51636508,0,0,0,0.038259515,0
23,10,0,0,0,0.170344225,0,0.473546222
23,11,0.51636508,0,0.62098852,0,0,0
23,12,0,0,0,0,0,0
23,13,0.51636508,0,0.62098852,0,0,0
23,14,1.032730161,0,0.184797772,0,0.106691737,0
24,1,0,0,0,0,0,0
24,2,0,0,0,0,0.691262004,0
24,3,0,0,0,0,0,0
24,4,0,0,1.015540908,0,0.848642924,0
24,5,0,0,0,0,0.472606253,0
24,6,0,0,0,0,0,0
24,7,0,0,0,0,0,0
24,8,0,0,0,0,0,0
24,9,0,0,0.1707935,0,0.240565831,0
24,10,0,0,0,0,0,0
24,11,0,0,0,0,0,0
24,12,0,0,0.249894529,0,0,0
24,13,0,1.288585537,0.576740604,0,0,0.096836736
24,14,0,2.577171075,0,0,0,0.228704862
25,1,0,0,0,0,0,0
25,2,0.154700538,0,0.125079696,0,0,0
25,3,0,0,0,0,0,0
25,4,0,0,0.246027124,0,0.327151497,0
25,5,0.154700538,0,0.638156709,0,0.621366235,0
25,6,0,0,0,0,0,0
25,7,0,0,0,0.02376989,0,0.552408077
25,8,0,0,0,0.04753978,0,0.249989119
25,9,0.154700538,0,0,0.44558606,0,0.420376613
25,10,0,0,0,0.20840425,0,0
25,11,0,0,0,0,0,0
25,12,0,0,0,0,0,0.341021056
25,13,0.154700538,0,0.534674768,0,0.456506043,0
25,14,0.309401077,0,0,0,0,0
26,1,0,0,0,0,0,0
26,2,0,0,0,0,0,0
26,3,0,0,0,0.020699776,0,0.879500819
26,4,0,0,0,0.041399551,0,0.665329585
26,5,0,0.914854216,0,0,0,0
26,6,0,1.829708431,0,0.020699776,0,0
26,7,0,0.307475463,0.379651771,0,0.08655869,0
26,8,0,0,0,0.020699776,0,0
26,9,0,0,0,0.041399551,0,0
26,10,0,0,0,0,0,0
26,11,0,0,0,0,0,0.339910032
26,12,0,0,0.417669672,0,0.30720971,0
26,13,0,0,0.245336357,0,0.569293275,0
26,14,0,0.914854216,0,0.020699776,0,0
27,1,0,0,0,0,0,0
27,2,0,0.371988681,0,0,0,0.078347161
27,3,0.028991511,0,0,0,0,0
27,4,0.057983022,0,0,0,0,0
27,5,0,0,0,0,0,0
27,6,0.028991511,0,0,0,0,0
27,7,0,0,0,0,0,0
27,8,0,0.371988681,0,0.93291367,0,0.324709461
27,9,0,0,0.434480164,0,0,0
27,10,0.028991511,0,0,0,0,0
27,11,0.057983022,0,0.808880774,0,0,0.424350759
27,12,0.086974533,0,1.396280681,0,1.333051727,0
27,13,0,0,0.270284382,0,0.579129143,0
27,14,0,0.371988681,0,0.061207948,0.850340606,0
28,1,0,0,0,0,0,0
28,2,0,0,0,0,0,0
28,3,0,0,0,0,0,0.543672945
28,4,0,0,0,0.396741077,0,0.341148363
28,5,0,0,0,0.504410878,0,0
28,6,0,0,0,0.776541361,0,0.446016568
28,7,0,0,0,0.604417156,0,0.18251826
28,8,0,0,0,0,0,0
28,9,0.51636508,0,0.276588392,0,1.084497029,0
28,10,1.032730161,0,0.742939108,0,0.510839542,0
28,11,1.549095241,0,0.047944395,0,0.894641758,0
28,12,2.065460322,0,0,0,0.13043714,0
28,13,0.347182126,0,0,0.176827626,0,0
28,14,0,0,0,0,0,0
29,1,0,0,0,0,0,0
29,2,0,0,0,0,0,0
29,3,0,0,0,0,0,0.120879549
29,4,0,0,0,0.102957281,0,0.664478491
29,5,0,0,0.536234143,0,0.35609581,0
29,6,0,0,0.9044845,0,0,0
29,7,0,0,0,0,0.189020658,0
29,8,0,0,0.250846304,0,0.390702861,0
29,9,0,0,0,0.076375231,0,0.420262218
29,10,0,0,0,0,0,0
29,11,0.51636508,0,0,0,0,0
29,12,1.032730161,0,0,0,0,0
29,13,1.549095241,0,0.533649777,0,0.306565264,0
29,14,2.065460322,0,0,0,0,0
30,1,0,0,0,0,0,0
30,2,0,0,0,0,0,0
30,3,0,0,0,0,0,0.186852592
30,4,0,0,0,0,0,0.062110106
30,5,0,0,0,0,0,0
30,6,0,0,0.855763973,0,0,0
30,7,0,0,0,0.125015095,0,0.182710764
30,8,0,0,0,0,0,0.045479158
30,9,0,0,0,0,0,0
30,10,0,0,0,0,0,0
30,11,0,0,0,0,0,0.256627284
30,12,0,0,0,0,0,0
30,13,0.820930936,0,1.006927114,0,0.640598138,0
30,14,1.641861872,0,0,0,0.933083635,0
31,1,0,0,0,0,0,0
31,2,0,0,0,0.93717672,0,0.763025943
31,3,0.01695036,0,0.592289111,0,0.658709391,0
31,4,0,0,0.315688422,0,0,0.129989008
31,5,0,0.571650556,0,0,0,0
31,6,0,1.143301112,0.436480028,0,0,0
31,7,0,0.42065121,0,0.156003414,0,0
31,8,0.01695036,0,0,0,0,0
31,9,0.033900719,0,0,0,0,0
31,10,0,0.571650556,0,0,0,0
31,11,0,0,0,0,0,0
31,12,0,0,0,0,0,0
31,13,0.01695036,0,0.01350211,0,0.749299963,0
31,14,0.033900719,0,0,0,0.450652087,0
32,1,0,0,0,0,0,0
32,2,0,0,0,0.841215067,0,0
32,3,0,0,0,0.231329383,0,0
32,4,0,0,0,0.391781134,0,1.455908112
32,5,0,0,0,0,0,0.67009413
32,6,0,0,0,0,0,0.033592595
32,7,0.74077656,0,0.151771016,0,0,0
32,8,0,0,0.036756409,0,0.511490781,0
32,9,0.74077656,0,0.618483204,0,0.085926593,0
32,10,0,0,0,0,0,0
32,11,0,0,0.537908103,0,0,0
32,12,0,0,0.213967912,0,0,0
32,13,0,0,0,0.023669649,0,0
32,14,0.74077656,0,0,0,0,0
33,1,0,0,0,0,0,0
33,2,0,0,0,0,0,0
33,3,0,0,0,0,0,0
33,4,0,0,0.075090945,0,0,0
33,5,0,0.154700538,0,0,0,0.232975493
33,6,0,0.309401077,0,0.480910179,0,1.028400159
33,7,0,0.464101615,0,0.20457942,0,0.246627525
33,8,0,0.618802154,0,1.378546004,0,1.021316893
33,9,0,0,0,0.697306429,0,0
33,10,0,0,0.075090945,0,0.251069396,0
33,11,0,0.154700538,0,0,0,0
33,12,0,0.309401077,0,0,0,0
33,13,0,0,0,0,0,0
33,14,0,0,0,0,0,0
34,1,0,0,0,0,0,0
34,2,0,0,0,0,0,0
34,3,0,0,0,0,0,0
34,4,0,0,0,1.007757476,0,0.33338786
34,5,0,0,0,0.21157726,0,0
34,6,0,0,0,0,0.050756455,0
34,7,0,0,0,0,0,0
34,8,0,0,0,0,0,0
34,9,0,0,0,0,0,0.094148046
34,10,0,0,0,0.059916687,0,0
34,11,0,0,0,0,0,0.165209532
34,12,0,0,0.169917107,0,0.699071194,0
34,13,1.449489743,0,0.7557757,0,1.34826139,0
34,14,2.898979486,0,0.096231225,0,0,0
35,1,0,0,0,0,0,0
35,2,0,0,0,0,0,0
35,3,0,0,0,0,0,0
35,4,0,0,0,0,0,0.410878292
35,5,0,0,0,0,0,0.2569362
35,6,0,0,0,0,0,0
35,7,0,0,0,0,0,0
35,8,0,0,0,0.694975323,0,0
35,9,0.341640786,0,0,0.283945925,0.159065687,0
35,10,0.683281573,0,0,0,0.215590923,0
35,11,0,0,0,0,0.584829108,0
35,12,0,0,0,0.025082416,0,0.030056276
35,13,0.341640786,0,0,0,0.330528002,0
35,14,0.683281573,0,0,0.025082416,0,0.306994235
36,1,0,0,0,0,0,0
36,2,0.341640786,0,0,0,0.572497091,0
36,3,0,0,0,0,0,0
36,4,0,0,0,0.141362835,0,0
36,5,0.341640786,0,0.324776201,0,0.096907703,0
36,6,0,0,0,0.186322567,0,0
36,7,0.341640786,0,0,0,0,0
36,8,0,0,0,0,0,0
36,9,0,0,0,0,0,0.546477314
36,10,0,0,0,0.401738326,0,1.299764736
36,11,0,0,0.280207423,0,0,0.30361437
36,12,0,0,0.088924092,0,0,0
36,13,0.341640786,0,0,0.683811774,0.456814195,0
36,14,0.683281573,0,0,0,0.664127239,0
37,1,0,0,0,0,0,0
37,2,0,0,0,0,0,0
37,3,0,1.9104275,0,1.246537456,0,0.99048574
37,4,0,0.42535625,0,0,0,0
37,5,0,0.638034376,0,0,0,0
37,6,0,0.850712501,0,0.105839943,0,0
37,7,0,0,0,0,0,0
37,8,0,0,0,0,0,0
37,9,0,0,0,0,0,0
37,10,0,0,0,0.105839943,0,0
37,11,0,0,0,0.211679886,0.112577218,0
37,12,0,0,0,0,0,0
37,13,0,0,0.26763168,0,0.189054903,0
37,14,0,0,0.136440152,0,0.364721864,0
38,1,0,0,0,0,0,0
38,2,0,0,0,0,0,0
38,3,0,0,0.408929218,0,0.691949875,0
38,4,0,0.820930936,0,0,0,0.452352201
38,5,0,0,0,0,0.044633947,0
38,6,0,0,0,0,0,0
38,7,0,0.820930936,0,1.450003338,0,1.00412212
38,8,0,0,0,0.96314665,0,0.525755672
38,9,0,0,0,0,0.258813345,0
38,10,0,0,0,0,0,0
38,11,0,0,0,0,0,0
38,12,0,0,0,0,0,0
38,13,0,0,0.169009661,0,0,0
38,14,0,0,0.402903227,0,0,0
39,1,0,0,0,0,0,0
39,2,0.050987708,0,0,0,0.178688191,0
39,3,0,0.212678125,0,0,0.455021003,0
39,4,0,0.42535625,0.317904449,0,0.236622873,0
39,5,0,0.638034376,0,0.000311809,0,0.20432314
39,6,0,0.850712501,0.041195153,0,0,0
39,7,0,0,0,0.000311809,0,0
39,8,0.050987708,0,0,0.81735708,0,0
39,9,0,0.212678125,0,0.817668889,0,0.762590694
